"","Model","Region","Scenario","Year","Inequality index|Gini","Gini_recomputed","Gini_full"
"284","AIM","India","650_redist",2030,0.306652,0.265860423413958,0.306652
"285","AIM","India","650_redist",2035,0.3272915,0.293838228459558,0.3272915
"286","AIM","India","650_redist",2040,0.347931,0.321816053089632,0.347931
"287","AIM","India","650_redist",2045,0.3819055,0.360880420867937,0.3819055
"288","AIM","India","650_redist",2050,0.41588,0.399944730049743,0.41588
"289","AIM","Japan","650_redist",2010,0.31928,0.312936022587205,0.31928
"290","AIM","Japan","650_redist",2015,0.32016,0.313806511380651,0.32016
"291","AIM","Japan","650_redist",2020,0.32104,0.314677,0.32104
"292","AIM","Japan","650_redist",2025,0.3014635,0.289580277916055,0.3014635
"293","AIM","Japan","650_redist",2030,0.281887,0.264483545793418,0.281887
"294","AIM","Japan","650_redist",2035,0.2891495,0.273491832769691,0.2891495
"295","AIM","Japan","650_redist",2040,0.296412,0.282500124250112,0.296412
"296","AIM","Japan","650_redist",2045,0.30083,0.287815376344613,0.30083
"297","AIM","Japan","650_redist",2050,0.305248,0.293130622060813,0.305248
"298","AIM","Mexico","650_redist",2010,0.452571,0.44089765182047,0.452571
"299","AIM","Mexico","650_redist",2015,0.4421715,0.430979606902039,0.4421715
"300","AIM","Mexico","650_redist",2020,0.431772,0.42106156,0.431772
"301","AIM","Mexico","650_redist",2025,0.3767215,0.356234790929135,0.3767215
"302","AIM","Mexico","650_redist",2030,0.321671,0.291407950548746,0.321671
"303","AIM","Mexico","650_redist",2035,0.344022,0.322154602185031,0.344022
"304","AIM","Mexico","650_redist",2040,0.366373,0.35290122,0.366373
"305","AIM","Mexico","650_redist",2045,0.3579455,0.34750404325283,0.3579455
"306","AIM","Mexico","650_redist",2050,0.349518,0.342106858949602,0.349518
"307","AIM","Russia","650_redist",2010,0.398101,0.389062246718674,0.398101
"308","AIM","Russia","650_redist",2015,0.3905005,0.381787252714901,0.3905005
"309","AIM","Russia","650_redist",2020,0.3829,0.374512257256129,0.3829
"310","AIM","Russia","650_redist",2025,0.33177,0.305632760281638,0.33177
"311","AIM","Russia","650_redist",2030,0.28064,0.23675332529867,0.28064
"312","AIM","Russia","650_redist",2035,0.3094765,0.278230421973268,0.3094765
"313","AIM","Russia","650_redist",2040,0.338313,0.319707506204745,0.338313
"314","AIM","Russia","650_redist",2045,0.3685015,0.354856403543079,0.3685015
"315","AIM","Russia","650_redist",2050,0.39869,0.390005329000533,0.39869
"316","AIM","United States","650_redist",2010,0.400976,0.392272206182235,0.400976
"317","AIM","United States","650_redist",2015,0.411412,0.402337633948065,0.411412
"318","AIM","United States","650_redist",2020,0.421848,0.412403068759693,0.421848
"319","AIM","United States","650_redist",2025,0.389495,0.373276491680877,0.389495
"320","AIM","United States","650_redist",2030,0.357142,0.33414992634003,0.357142
"321","AIM","United States","650_redist",2035,0.376944,0.356519816955945,0.376944
"322","AIM","United States","650_redist",2040,0.396746,0.378889738889739,0.396746
"323","AIM","United States","650_redist",2045,0.412186,0.396232679623268,0.412186
"324","AIM","United States","650_redist",2050,0.427626,0.413575589139529,0.427626
"325","AIM","Brazil","REF",2010,0.533423,0.5183285,0.533423
"326","AIM","Brazil","REF",2015,0.534426,0.51936701968351,0.534426
"327","AIM","Brazil","REF",2020,0.535429,0.52040554040554,0.535429
"328","AIM","Brazil","REF",2025,0.537425,0.522336942233695,0.537425
"329","AIM","Brazil","REF",2030,0.539421,0.524268340585328,0.539421
"330","AIM","Brazil","REF",2035,0.5398785,0.524701322709074,0.5398785
"331","AIM","Brazil","REF",2040,0.540336,0.525134304919417,0.540336
"332","AIM","Brazil","REF",2045,0.5403285,0.525087526236871,0.5403285
"333","AIM","Brazil","REF",2050,0.540321,0.525040747512225,0.540321
"334","AIM","Canada","REF",2010,0.332456,0.325848042584804,0.332456
"335","AIM","Canada","REF",2015,0.337324,0.330595041529752,0.337324
"336","AIM","Canada","REF",2020,0.342192,0.33534204,0.342192
"337","AIM","Canada","REF",2025,0.348129,0.341117335888266,0.348129
"338","AIM","Canada","REF",2030,0.354066,0.346892630621474,0.354066
"339","AIM","Canada","REF",2035,0.3601065,0.352761494171552,0.3601065
"340","AIM","Canada","REF",2040,0.366147,0.358630356547858,0.366147
"341","AIM","Canada","REF",2045,0.3726315,0.364915862983173,0.3726315
"342","AIM","Canada","REF",2050,0.379116,0.371201376961102,0.379116
"343","AIM","China","REF",2010,0.434617,0.423291510683396,0.434617
"344","AIM","China","REF",2015,0.409622,0.39956240026256,0.409622
"345","AIM","China","REF",2020,0.384627,0.37583329933336,0.384627
"346","AIM","China","REF",2025,0.380677,0.372184570298487,0.380677
"347","AIM","China","REF",2030,0.376727,0.368535839439248,0.376727
"348","AIM","China","REF",2035,0.368249,0.360393420940987,0.368249
"349","AIM","China","REF",2040,0.359771,0.352251,0.359771
"350","AIM","China","REF",2045,0.3492305,0.342059960514991,0.3492305
"351","AIM","China","REF",2050,0.33869,0.331868915934458,0.33869
"352","AIM","France","REF",2010,0.333756,0.327087073543537,0.333756
"353","AIM","France","REF",2015,0.3292215,0.322691501345751,0.3292215
"354","AIM","France","REF",2020,0.324687,0.318295929147964,0.324687
"355","AIM","France","REF",2025,0.3258005,0.319393643878729,0.3258005
"356","AIM","France","REF",2030,0.326914,0.320491357950865,0.326914
"357","AIM","France","REF",2035,0.327047,0.320634811031741,0.327047
"358","AIM","France","REF",2040,0.32718,0.320778264155653,0.32718
"359","AIM","France","REF",2045,0.3267125,0.320336186949572,0.3267125
"360","AIM","France","REF",2050,0.326245,0.319894110052945,0.326245
"361","AIM","India","REF",2010,0.354037,0.345959981363984,0.354037
"362","AIM","India","REF",2015,0.364183,0.355498634398907,0.364183
"363","AIM","India","REF",2020,0.374329,0.3650372855261,0.374329
"364","AIM","India","REF",2025,0.388634,0.379051945336362,0.388634
"365","AIM","India","REF",2030,0.402939,0.393066605146624,0.402939
"366","AIM","India","REF",2035,0.411758,0.40174946578726,0.411758
"367","AIM","India","REF",2040,0.420577,0.410432322086465,0.420577
"368","AIM","India","REF",2045,0.4294635,0.419104507865676,0.4294635
"369","AIM","India","REF",2050,0.43835,0.427776692777669,0.43835
"370","AIM","Japan","REF",2010,0.31928,0.312936022587205,0.31928
"371","AIM","Japan","REF",2015,0.32016,0.313806511380651,0.32016
"372","AIM","Japan","REF",2020,0.32104,0.314677,0.32104
"373","AIM","Japan","REF",2025,0.3233435,0.316937618468809,0.3233435
"374","AIM","Japan","REF",2030,0.325647,0.319198239198239,0.325647
"375","AIM","Japan","REF",2035,0.326845,0.320378078151232,0.326845
"376","AIM","Japan","REF",2040,0.328043,0.321557915688417,0.328043
"377","AIM","Japan","REF",2045,0.328981,0.32248270224827,0.328981
"378","AIM","Japan","REF",2050,0.329919,0.323407489362996,0.329919
"379","AIM","Mexico","REF",2010,0.452571,0.44089765182047,0.452571
"380","AIM","Mexico","REF",2015,0.4421715,0.430979606902039,0.4421715
"381","AIM","Mexico","REF",2020,0.431772,0.42106156,0.431772
"382","AIM","Mexico","REF",2025,0.423111,0.4128280043586,0.423111
"383","AIM","Mexico","REF",2030,0.41445,0.404594449540555,0.41445
"384","AIM","Mexico","REF",2035,0.401236,0.391930896210365,0.401236
"385","AIM","Mexico","REF",2040,0.388022,0.379267344146531,0.388022
"386","AIM","Mexico","REF",2045,0.368062,0.3600124429944,0.368062
"387","AIM","Mexico","REF",2050,0.348102,0.340757551469714,0.348102
"388","AIM","Russia","REF",2010,0.398101,0.389062246718674,0.398101
"389","AIM","Russia","REF",2015,0.3905005,0.381787198625519,0.3905005
