,Model,Region,Variable,Unit,Year,WP4_REF,Scenario,value,change,DEC
240,AIM,JPN,Consumption Decile|D6,%,2100,9.032546995,WP4_650_redist,9.120722106,0.976193215,6
241,AIM,JPN,Consumption Decile|D7,%,2010,10.582,WP4_1150,10.582,0,7
242,AIM,JPN,Consumption Decile|D7,%,2010,10.582,WP4_1150_redist,10.582,0,7
243,AIM,JPN,Consumption Decile|D7,%,2010,10.582,WP4_650,10.582,0,7
244,AIM,JPN,Consumption Decile|D7,%,2010,10.582,WP4_650_redist,10.582,0,7
245,AIM,JPN,Consumption Decile|D7,%,2020,10.5751,WP4_1150,10.5751,0,7
246,AIM,JPN,Consumption Decile|D7,%,2020,10.5751,WP4_1150_redist,10.5751,0,7
247,AIM,JPN,Consumption Decile|D7,%,2020,10.5751,WP4_650,10.5751,0,7
248,AIM,JPN,Consumption Decile|D7,%,2020,10.5751,WP4_650_redist,10.5751,0,7
249,AIM,JPN,Consumption Decile|D7,%,2030,10.5564,WP4_1150,10.5337,-0.215035429,7
250,AIM,JPN,Consumption Decile|D7,%,2030,10.5564,WP4_1150_redist,10.6443,0.832670228,7
251,AIM,JPN,Consumption Decile|D7,%,2030,10.5564,WP4_650,10.532,-0.231139404,7
252,AIM,JPN,Consumption Decile|D7,%,2030,10.5564,WP4_650_redist,10.6733,1.107385093,7
253,AIM,JPN,Consumption Decile|D7,%,2040,10.5463,WP4_1150,10.5462,-0.0009482,7
254,AIM,JPN,Consumption Decile|D7,%,2040,10.5463,WP4_1150_redist,10.6187,0.686496686,7
255,AIM,JPN,Consumption Decile|D7,%,2040,10.5463,WP4_650,10.5295,-0.159297574,7
256,AIM,JPN,Consumption Decile|D7,%,2040,10.5463,WP4_650_redist,10.6447,0.933028645,7
257,AIM,JPN,Consumption Decile|D7,%,2050,10.5383,WP4_1150,10.5382,-0.00094892,7
258,AIM,JPN,Consumption Decile|D7,%,2050,10.5383,WP4_1150_redist,10.6127,0.705996223,7
259,AIM,JPN,Consumption Decile|D7,%,2050,10.5383,WP4_650,10.5265,-0.111972519,7
260,AIM,JPN,Consumption Decile|D7,%,2050,10.5383,WP4_650_redist,10.6215,0.789501153,7
261,AIM,JPN,Consumption Decile|D7,%,2060,10.5338265,WP4_1150,10.52634633,-0.071010908,7
262,AIM,JPN,Consumption Decile|D7,%,2060,10.5338265,WP4_1150_redist,10.61804523,0.799507443,7
263,AIM,JPN,Consumption Decile|D7,%,2060,10.5338265,WP4_650,10.52621009,-0.072304263,7
264,AIM,JPN,Consumption Decile|D7,%,2060,10.5338265,WP4_650_redist,10.60013171,0.629450398,7
